ANIO_ESTAD,ENT_REGIS,MES_ENTREV,DIA_ENTREV,SEXO,EDAD,ENT_RESID,MUN_RESID,PAIS_RESID,NACIONALID,PAIS_EXTRA,ESCOLARIDA,COND_ESCOL,OCUPACION,LENGUA_1,LENGUA_2,LENGUA_3,ESTIM_FAM,PRIM_VISIT,VISIT_ANIO,ANIOS_VISI,VIS_OTROS,VISO_CUANT,MEDIO_1,MEDIO_2,PLAN_VISIT,MV_ACOMP,MV_CULTURA,MV_APREND,MV_ESCOLAR,MV_LABORAL,MV_CONOCER,MV_ENTRETE,MV_EDIFICI,MV_TALLER,MV_OTRO,MEDIO_TRAN,TIEMPO_TRA,TIPO_ENTRA,PAV_NADIE,PAV_FAMILI,PAV_PAREJA,PAV_AMIGO,PAV_COMPA,PAV_ESCOLA,PAV_TURIST,PAV_OTRO,TAM_GRUPO,MENORES_12,SU_SALAS,SU_TIENDA,SU_VISGUIA,SU_AUDIOG,SU_TALLER,SU_ACADEM,SU_ACULTUR,SU_BIBLIOT,SU_ARCHIVO,SU_SILLA,SU_OTRO,OPIN_EXPOS,NIV_APREND,DUR_VIS_H,DUR_VIS_M,REPETIR_VI,RECOMIE_VI,EVAL_GRAL,M_NOVIS_1,M_NOVIS_2,M_NOVIS_3
2023,01,7,1,2,37,02,004,000,1,000,9,1,2,1,,,1,2,02,00,1,05,03,,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,1,10,0,30,1,12,9,07,01,
2023,01,7,1,2,20,01,001,000,1,000,9,2,11,2,1,,1,2,02,00,1,03,06,,1,0,1,1,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,50,1,14,10,09,06,
2023,01,7,2,2,20,01,001,000,1,000,9,2,11,1,,,1,1,,,1,02,01,,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,08,0,20,1,13,9,09,,
2023,01,7,1,2,25,01,001,000,1,000,9,1,2,1,,,1,1,,,1,06,03,,2,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,40,1,15,9,05,06,
2023,01,7,2,1,21,01,001,000,1,000,9,2,3,1,,,1,1,,,1,04,03,,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,07,0,20,1,14,10,08,09,
2023,01,7,1,2,43,01,001,000,1,000,9,1,11,1,,,2,1,,,2,,10,,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,09,0,35,1,15,9,07,,
2023,01,7,1,1,21,07,999,000,1,000,9,2,11,1,,,1,1,,,1,03,06,,2,0,1,0,0,0,1,0,0,0,0,3,2,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,40,1,12,10,09,07,
2023,01,7,1,2,40,01,001,000,1,000,10,1,11,1,,,1,1,,,1,02,03,,2,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,35,1,11,10,04,,
2023,01,7,1,2,33,14,067,000,1,000,8,1,2,1,,,2,1,,,2,,03,,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,10,0,45,1,13,10,04,,
2023,01,7,1,1,30,21,114,000,1,000,9,1,8,2,1,,1,2,00,02,2,,02,,2,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,09,1,15,1,14,10,04,01,
2023,01,7,1,1,23,21,114,000,1,000,9,2,11,2,1,,1,2,00,08,1,05,07,,2,0,0,0,0,0,0,1,1,0,0,3,2,1,0,1,0,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,20,1,12,10,06,,
2023,01,7,1,2,49,29,033,000,1,000,9,2,3,1,,,1,1,,,1,08,10,,2,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,1,10,0,40,1,15,10,05,,
2023,01,7,2,2,24,01,001,000,1,000,9,1,1,2,1,,1,2,02,00,1,06,02,,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,5,01,0,10,1,25,8,09,,
2023,01,7,1,2,29,01,001,000,1,000,9,1,11,1,,,1,2,01,00,1,04,06,,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,09,0,25,1,14,8,08,,
2023,01,7,1,2,29,08,037,000,1,000,9,1,2,1,,,1,1,,,1,04,05,,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,20,1,15,10,05,,
2023,01,7,1,1,43,01,001,000,1,000,10,1,3,2,1,,1,2,01,00,1,04,10,,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,1,10,0,15,1,15,9,03,,
2023,01,7,1,1,25,01,001,000,1,000,9,1,1,1,,,2,2,00,02,2,,02,,2,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,0,0,0,0,0,0,001,001,1,1,0,0,0,0,0,0,0,0,0,1,10,0,40,1,11,9,02,,
2023,01,7,1,2,32,32,056,000,1,000,9,1,3,1,,,1,1,,,2,,06,,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,09,0,25,1,13,10,09,07,
2023,01,7,1,2,32,09,006,000,1,000,7,1,4,1,,,1,1,,,1,01,09,,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,08,1,20,1,14,9,03,,
2023,01,7,2,1,28,01,001,000,1,000,9,1,4,1,,,1,2,00,01,1,02,07,,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,35,1,13,9,05,,
2023,01,7,1,2,36,24,028,000,1,000,9,1,2,1,,,1,2,00,03,1,04,03,,2,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,001,001,1,0,0,0,0,0,0,0,0,0,0,1,10,0,40,1,12,8,08,06,
2023,01,7,1,2,29,21,114,000,1,000,9,1,4,2,1,,1,1,,,1,02,11,,2,0,1,0,0,0,0,0,0,0,0,6,1,1,0,1,0,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,08,0,20,1,11,9,02,,
2023,01,7,1,2,21,01,001,000,1,000,9,2,11,1,,,1,1,,,2,,03,,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,20,1,12,10,03,,
